Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude,Crash_Latitude,Crash_Street,Crash_Street_Intersecting,State_Road_Name,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Crash_DCA_Code,Crash_DCA_Description,Crash_DCA_Group_Description,DCA_Key_Approach_Dir,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Count_Unit_Car,Count_Unit_Motorcycle_Moped,Count_Unit_Truck,Count_Unit_Bus,Count_Unit_Bicycle,Count_Unit_Pedestrian,Count_Unit_Other
18,Property damage only,2007,June,Monday,16,Angle,Multi-Vehicle,153.1090454,-27.63185044,Ewing Rd,Macquarie St,,Woodridge,Logan City,4114,Logan Central,Logan,South Eastern,SEQ South,South Coast,Woodridge,Springwood - Kingston,Logan - Beaudesert,Major Cities,Woodridge,Rankin,Locally-controlled,Intersection - T-Junction,Give way sign,60 km/h,Sealed - Wet,Raining,Darkness - Lighted,Straight,Dip,104,Vehs Adjacent Approach: Thru-Right,01: Intersection: Adjacent Approach,S,0,0,0,0,0,1,0,0,0,0,0,1
19,Property damage only,2007,December,Wednesday,14,Angle,Multi-Vehicle,152.7522267,-27.63990985,Balaclava St,Ipswich - Cunningham Hwy Connection Rd,Ipswich - Cunningham Hwy Connection Road,Churchill,Ipswich City,4305,Yamanto,Ipswich,Southern,SEQ South,Metropolitan,Churchill - Yamanto,Ipswich Inner,Ipswich,Major Cities,Ipswich,Blair,State-controlled,Intersection - Cross,Give way sign,60 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,109,Vehs Adjacent Approach: Left-Left,01: Intersection: Adjacent Approach,S,0,0,0,0,0,3,0,0,0,0,0,0
20,Property damage only,2007,October,Wednesday,16,Angle,Multi-Vehicle,145.7718486,-16.92690964,Port Connection Rd,,Port Connection Road,Cairns City,Cairns Region,4870,Cairns,Far North,Far Northern,Northern,North Queensland,Cairns City,Cairns - South,Cairns,Outer Regional,Cairns,Leichhardt,State-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,406,Vehs Manoeuvring: Leaving Driveway,08: Vehicle Leaving Driveway,W,0,0,0,0,0,2,0,0,0,0,0,0
21,Hospitalisation,2007,July,Tuesday,21,Hit pedestrian,Hit pedestrian,153.0658319,-27.57219701,Mccullough St,,,Sunnybank,Brisbane City,4109,Upper Mount Gravatt,South Brisbane,Brisbane,SEQ South,Metropolitan,Sunnybank,Sunnybank,Brisbane - South,Major Cities,Toohey,Moreton,Locally-controlled,No Roadway Feature,Pedestrian operated lights,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,003,Pedn: Far Side Vehicle Hit From Left,12: Pedestrian,W,0,1,0,0,1,1,0,0,0,0,1,0
22,Hospitalisation,2007,December,Friday,11,Angle,Multi-Vehicle,151.9614687,-27.56604563,Herries St,Kitchener St,,East Toowoomba,Toowoomba Region,4350,Toowoomba,Darling Downs,Southern,Southern,Southern Queensland,Toowoomba - East,Toowoomba,Toowoomba,Inner Regional,Toowoomba North,Groom,Locally-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,202,Vehs Opposite Approach: Thru-Right,03: Opposing Vehicles Turning,E,0,1,1,1,3,2,0,0,0,0,0,0
23,Medical treatment,2007,August,Tuesday,18,Hit object,Single Vehicle,153.0573353,-27.63585427,Gowan Rd,,,Calamvale,Brisbane City,4116,Calamvale,South Brisbane,Brisbane,SEQ South,Metropolitan,Calamvale - Stretton,Rocklea - Acacia Ridge,Brisbane - South,Major Cities,Stretton,Rankin,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Curved - view open,Level,804,Off Path-Curve: Off Cway Lt Bend Hit Obj,19: Off Carriageway on Curve Hit Object,N,0,0,1,0,1,1,0,0,0,0,0,0
24,Medical treatment,2007,October,Monday,18,Angle,Multi-Vehicle,148.1561398,-23.51383,Egan St,Gregory Hwy,Gregory Highway (Emerald - Clermont),Emerald,Central Highlands Region,4720,Emerald,Capricornia,Central,Central,Central Queensland,Emerald,Central Highlands (qld),Central Queensland,Outer Regional,Gregory,Flynn,State-controlled,Intersection - Cross,Give way sign,60 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Level,101,Vehs Adjacent Approach: Thru-Thru,01: Intersection: Adjacent Approach,N,0,0,1,0,1,2,0,0,0,0,0,0
25,Property damage only,2007,October,Thursday,8,Rear-end,Multi-Vehicle,153.0367446,-26.41179792,Beckmans Rd,,,Noosaville,Noosa Shire,4566,Noosa Heads,Sunshine Coast,North Coast,SEQ North,North Coast,Noosaville,Noosa,Sunshine Coast,Major Cities,Noosa,Wide Bay,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301,Vehs Same Direction: Rear End,04: Rear-end,E,0,0,0,0,0,2,0,0,0,0,0,0
26,Property damage only,2007,May,Wednesday,7,Angle,Multi-Vehicle,149.1478928,-21.23055084,Bruce Hwy,,Bruce Highway (St Lawrence - Mackay),Rosella,Mackay Region,4740,Mackay,Mackay,Central,Central,Central Queensland,Walkerston - Eton,Mackay,Mackay - Isaac - Whitsunday,Outer Regional,Mirani,Capricornia,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,408,Vehs Manoeuvring: Entering From Footway,08: Vehicle Leaving Driveway,N,0,0,0,0,0,2,0,0,0,0,0,0
27,Hospitalisation,2008,October,Thursday,7,Hit object,Single Vehicle,146.1577124,-18.66199823,Philp St,,,Ingham,Hinchinbrook Shire,4850,Ingham,Townsville,Northern,Northern,North Queensland,Ingham,Charters Towers - Ayr - Ingham,Townsville,Outer Regional,Hinchinbrook,Kennedy,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,703,Off Path-Straight: Left Off Cway Hit Obj,16: Off Carriageway on Straight Hit Object,N,0,1,0,0,1,1,0,0,0,0,0,0
